组播测试,#genre#
国学,http://121.29.91.219:7077/rtp/239.253.92.158:8071
女性时尚,http://121.29.91.219:7077/rtp/239.253.92.249:6103
文化精品,http://121.29.91.219:7077/rtp/239.253.92.25:6104
早期教育,http://121.29.91.219:7077/rtp/239.253.92.39:6107
梨园,http://121.29.91.219:7077/rtp/239.253.92.152:8086
汽摩,http://121.29.91.219:7077/rtp/239.253.92.46:6110
CETV-2,http://121.29.91.219:7077/rtp/239.253.92.108:6136
CETV-4,http://121.29.91.219:7077/rtp/239.253.92.200:6137
中学生,http://121.29.91.219:7077/rtp/239.253.92.27:6106
快乐垂钓高清,http://121.29.91.219:7077/rtp/239.253.93.213:6391
新动漫,http://121.29.91.219:7077/rtp/239.253.93.217:6395
先锋乒羽,http://121.29.91.219:7077/rtp/239.253.93.219:6397
发现之旅,http://121.29.91.219:7077/rtp/239.253.94.30:6629
环球旅游,http://121.29.91.219:7077/rtp/239.253.93.220:6398
车迷,http://121.29.91.219:7077/rtp/239.253.93.221:6399
游戏风云高清,http://121.29.91.219:7077/rtp/239.253.93.222:6400
欢笑剧场4K,http://121.29.91.219:7077/rtp/239.253.93.223:6401
乐游高清,http://121.29.91.219:7077/rtp/239.253.93.224:6402
动漫秀场高清,http://121.29.91.219:7077/rtp/239.253.93.225:6403
生活时尚高清,http://121.29.91.219:7077/rtp/239.253.93.226:6404
都市剧场高清,http://121.29.91.219:7077/rtp/239.253.93.227:6405
茶频道高清,http://121.29.91.219:7077/rtp/239.253.93.212:6390
天元围棋,http://121.29.91.219:7077/rtp/239.253.93.211:6389
书画,http://121.29.91.219:7077/rtp/239.253.93.214:6392
摄影,http://121.29.91.219:7077/rtp/239.253.93.215:6393
央视台球高清,http://121.29.91.219:7077/rtp/239.253.93.231:6409
求索纪录高清,http://121.29.91.219:7077/rtp/239.253.93.236:6414
东方财经,http://121.29.91.219:7077/rtp/239.253.93.239:6417
金色学堂高清,http://121.29.91.219:7077/rtp/239.253.93.240:6418
法治天地高清,http://121.29.91.219:7077/rtp/239.253.93.241:6419
中华特产,http://121.29.91.219:7077/rtp/239.253.93.242:6420
四海钓鱼,http://121.29.91.219:7077/rtp/239.253.93.243:6421
